student_id,gender,age,attendance_rate,study_hours_weekly,previous_grades,assignment_completion,class_participation,extra_curricular,library_visits,online_resource_hours,parent_education,family_income,internet_access,tutoring,mentor_support,stress_level,motivation_score,final_grade,performance_category,pass_fail
21,Female,20,79.65,3.4,90.99,53.37,3.8,Yes,1,0.8,Bachelor,Low,Yes,Yes,No,8.5,5.1,91.86,Excellent,Pass
22,Male,15,73.18,6.3,84.96,47.8,5.7,No,1,9.6,Bachelor,High,Yes,No,No,8.2,2.7,74.84,Average,Pass
23,Female,16,75.85,4.7,49.16,74.17,6.9,Yes,1,12.0,High School,Low,Yes,No,No,2.4,9.3,72.06,Average,Pass
24,Female,15,87.03,8.7,93.83,31.75,8.0,No,4,1.6,Master,Medium,Yes,Yes,No,4.3,6.1,100.05,Excellent,Pass
25,Female,19,68.85,13.5,36.83,80.45,7.9,Yes,6,5.7,Bachelor,Medium,Yes,No,Yes,1.9,7.6,118.14,Excellent,Pass
26,Female,24,42.45,2.6,89.73,65.98,9.8,No,6,6.4,Bachelor,Low,No,Yes,No,8.6,6.7,80.34,Average,Pass
27,Female,23,49.84,5.5,52.97,72.4,3.6,Yes,0,11.3,High School,Medium,Yes,Yes,No,3.9,10.0,87.63,Excellent,Pass
28,Female,20,66.32,18.7,33.76,74.23,1.6,Yes,8,5.6,PhD,Medium,Yes,Yes,No,5.0,5.1,107.17,Excellent,Pass
29,Female,15,83.49,4.4,76.85,66.89,4.1,Yes,3,1.9,PhD,Medium,Yes,No,No,3.9,4.8,90.28,Excellent,Pass
30,Female,15,75.6,4.4,46.19,70.78,7.7,Yes,4,3.3,Bachelor,Medium,No,No,Yes,3.8,4.2,95.45,Excellent,Pass
31,Male,16,79.02,10.7,47.05,77.87,4.9,Yes,2,3.5,Bachelor,Low,Yes,No,No,7.7,4.3,79.92,Average,Pass
32,Male,23,68.76,5.7,51.42,82.72,8.4,Yes,2,16.9,Master,High,Yes,Yes,Yes,7.7,3.5,101.34,Excellent,Pass
33,Female,17,76.94,6.4,34.46,80.92,5.9,Yes,2,5.7,High School,Medium,Yes,No,Yes,5.7,9.8,87.4,Excellent,Pass
34,Female,15,59.74,14.3,42.4,90.87,9.4,No,0,14.3,High School,Low,Yes,No,No,6.9,8.8,79.41,Average,Pass
35,Female,19,68.21,8.4,30.36,43.26,9.5,No,6,11.4,Bachelor,Medium,No,No,Yes,5.6,3.9,76.33,Average,Pass
36,Male,21,84.66,4.7,61.18,58.08,1.6,No,4,19.5,High School,Low,Yes,No,No,1.3,3.7,79.55,Average,Pass
37,Female,20,92.31,11.0,35.9,96.35,5.1,No,3,5.5,Bachelor,Low,Yes,Yes,Yes,1.6,1.9,100.96,Excellent,Pass
38,Male,15,66.02,4.9,77.79,57.76,6.5,Yes,3,3.2,Bachelor,Medium,Yes,No,Yes,4.5,8.9,97.63,Excellent,Pass
39,Male,19,42.62,4.4,46.49,38.74,3.3,Yes,1,1.0,Bachelor,High,Yes,No,No,7.7,4.3,69.68,Below Average,Pass
40,Male,19,49.7,9.7,96.05,66.78,4.7,Yes,5,4.8,High School,High,Yes,No,Yes,9.2,6.2,99.78,Excellent,Pass
41,Male,20,41.25,6.2,90.99,37.66,7.1,No,3,13.7,Bachelor,Medium,Yes,No,Yes,1.3,9.1,105.35,Excellent,Pass
42,Male,17,79.2,9.6,50.26,44.2,3.0,No,4,1.7,Bachelor,Medium,Yes,Yes,No,4.3,4.7,83.9,Average,Pass
43,Female,19,59.94,16.2,84.83,99.88,6.4,Yes,2,4.9,Bachelor,Medium,Yes,Yes,Yes,3.0,8.3,120.29,Excellent,Pass
44,Female,21,72.55,2.0,86.23,67.9,7.3,Yes,0,17.1,Bachelor,Medium,Yes,Yes,Yes,8.3,4.9,93.9,Excellent,Pass
45,Female,19,69.6,4.5,99.06,49.88,1.8,Yes,1,11.7,PhD,Low,Yes,No,No,8.6,7.3,88.06,Excellent,Pass
46,Female,19,44.89,5.1,71.85,99.63,5.5,No,1,1.4,High School,High,Yes,No,Yes,2.9,4.9,104.98,Excellent,Pass
47,Female,19,64.2,2.2,35.74,97.66,3.4,No,4,1.0,Master,Low,Yes,No,No,7.4,4.5,64.47,Below Average,Pass
48,Male,24,53.23,5.5,75.28,60.85,7.5,Yes,0,1.2,High School,Medium,No,No,Yes,7.6,9.9,84.23,Average,Pass
49,Female,24,65.1,6.1,73.75,48.23,2.7,Yes,2,18.8,Bachelor,High,Yes,No,Yes,2.6,6.5,90.94,Excellent,Pass
50,Female,17,52.21,1.0,74.68,88.69,9.0,No,3,17.0,Bachelor,Medium,Yes,No,No,4.9,4.3,93.86,Excellent,Pass
51,Male,15,90.43,10.7,51.5,80.09,4.9,No,3,16.9,Bachelor,Low,Yes,Yes,No,6.6,3.3,108.01,Excellent,Pass
52,Female,19,50.45,3.9,90.18,78.09,2.8,Yes,3,18.5,Master,Low,No,No,Yes,1.2,1.4,72.8,Average,Pass
53,Male,23,97.65,5.7,97.16,92.52,4.9,No,1,10.1,Bachelor,Medium,No,No,No,4.6,7.4,103.6,Excellent,Pass
54,Female,15,64.95,10.3,45.24,78.26,4.7,Yes,2,4.9,Bachelor,Medium,Yes,No,Yes,2.4,4.3,73.57,Average,Pass
55,Male,17,90.77,2.8,36.17,49.87,4.9,No,3,8.0,Master,Medium,Yes,Yes,Yes,5.9,8.4,78.79,Average,Pass
56,Female,18,77.73,5.8,43.62,78.57,6.3,No,4,14.4,High School,Medium,Yes,No,No,8.6,4.3,76.76,Average,Pass
57,Female,15,84.12,2.5,87.44,51.41,5.7,Yes,4,17.5,High School,High,Yes,No,Yes,5.7,4.4,69.87,Below Average,Pass
58,Male,15,86.06,5.7,77.37,83.15,2.3,Yes,1,8.7,High School,Low,Yes,No,No,1.3,8.0,125.07,Excellent,Pass
59,Male,22,70.29,4.9,74.52,73.38,1.6,No,0,10.7,High School,Medium,Yes,No,Yes,1.3,5.4,78.83,Average,Pass
60,Male,16,72.6,8.1,58.13,35.42,7.6,Yes,3,18.6,Bachelor,Medium,No,No,No,6.4,9.0,93.4,Excellent,Pass
61,Male,22,70.84,5.2,70.45,65.9,6.0,No,4,2.1,Bachelor,Low,Yes,No,No,4.0,6.3,91.33,Excellent,Pass
62,Male,21,75.28,2.3,51.55,54.03,4.2,No,0,17.2,High School,Low,Yes,Yes,No,6.2,3.2,79.62,Average,Pass
63,Male,24,41.76,1.9,63.4,53.0,8.3,No,1,3.2,High School,High,Yes,No,Yes,2.5,6.1,79.82,Average,Pass
64,Male,24,63.73,1.9,85.51,72.16,4.5,Yes,4,9.7,Master,High,Yes,No,No,8.0,1.0,56.23,Below Average,Fail
65,Male,16,76.37,5.4,98.69,52.56,8.2,Yes,2,4.4,Master,Low,No,No,No,8.7,3.8,91.14,Excellent,Pass
66,Female,20,75.86,5.9,95.27,84.38,3.8,No,5,12.1,PhD,High,Yes,No,No,9.0,2.9,90.1,Excellent,Pass
67,Female,20,87.58,5.3,95.37,34.96,1.7,Yes,5,11.2,PhD,Low,Yes,No,No,3.7,6.9,82.83,Average,Pass
68,Male,17,79.3,6.7,58.16,76.23,9.4,No,4,7.6,PhD,Medium,Yes,No,No,6.9,2.2,88.67,Excellent,Pass
69,Female,16,99.53,7.8,62.82,86.64,4.6,No,2,17.3,Master,Low,Yes,No,No,3.5,3.6,92.93,Excellent,Pass
70,Female,15,57.03,3.9,79.39,77.1,8.1,Yes,5,13.2,Bachelor,High,Yes,No,No,7.9,4.0,84.69,Average,Pass
71,Female,20,61.55,3.0,94.55,64.81,3.5,No,6,14.4,High School,Low,No,No,No,2.1,1.0,61.78,Below Average,Pass
72,Female,19,63.03,7.4,39.94,96.52,6.8,Yes,1,3.0,Bachelor,Medium,Yes,No,No,7.9,1.4,69.97,Below Average,Pass
73,Male,23,67.95,7.7,51.3,51.0,8.9,Yes,2,17.7,High School,Medium,Yes,No,Yes,5.0,3.8,88.18,Excellent,Pass
74,Female,15,90.16,3.8,39.75,31.34,1.4,No,2,3.3,Master,Low,No,Yes,No,8.7,3.0,48.95,At Risk,Fail
75,Male,21,54.15,6.5,72.84,60.24,8.5,No,2,4.5,Bachelor,Medium,Yes,No,No,7.7,2.1,61.97,Below Average,Pass
76,Female,19,86.56,4.2,51.44,32.31,6.1,Yes,3,2.6,Bachelor,Low,Yes,No,No,4.4,2.4,60.57,Below Average,Pass
77,Female,19,64.32,2.9,52.83,96.78,6.5,No,1,8.8,High School,Medium,Yes,No,Yes,9.1,8.5,86.23,Excellent,Pass
78,Female,16,76.11,9.6,34.96,44.69,5.7,Yes,4,17.8,Bachelor,Medium,Yes,No,No,3.6,7.1,93.29,Excellent,Pass
79,Male,17,77.95,13.1,54.49,85.22,8.9,Yes,2,5.0,Bachelor,Medium,No,Yes,No,9.7,5.4,104.18,Excellent,Pass
80,Female,21,62.37,4.4,90.37,84.22,1.4,Yes,0,7.5,High School,High,Yes,Yes,No,7.9,9.2,118.84,Excellent,Pass
81,Male,20,70.76,7.2,46.32,45.24,3.3,No,1,16.9,Bachelor,Medium,Yes,No,No,9.9,1.3,33.1,At Risk,Fail
82,Female,16,64.78,6.3,78.66,73.49,8.9,Yes,5,12.4,High School,Low,Yes,No,No,1.5,4.1,103.54,Excellent,Pass
83,Male,20,44.15,1.5,74.07,33.37,7.8,Yes,5,15.0,Bachelor,Medium,Yes,No,No,3.5,8.4,67.35,Below Average,Pass
84,Female,16,66.23,10.0,90.44,63.85,1.2,Yes,3,4.3,Bachelor,Medium,Yes,Yes,Yes,7.7,6.7,97.2,Excellent,Pass
85,Male,16,45.84,6.5,39.26,31.03,5.7,No,2,14.3,Master,High,Yes,No,Yes,9.3,9.8,71.52,Average,Pass
86,Male,16,64.3,12.6,98.43,94.48,5.8,Yes,1,4.6,Bachelor,Low,Yes,No,Yes,1.3,9.5,127.81,Excellent,Pass
87,Female,17,75.58,3.8,70.78,98.33,4.6,Yes,2,19.7,Bachelor,Medium,Yes,Yes,Yes,1.0,2.5,77.28,Average,Pass
88,Male,16,74.76,5.2,99.68,45.56,3.7,Yes,3,11.2,PhD,High,Yes,Yes,No,3.3,9.7,112.21,Excellent,Pass
89,Female,18,79.76,2.9,93.81,44.57,7.1,No,3,13.9,Bachelor,High,Yes,Yes,No,8.7,9.5,102.13,Excellent,Pass
90,Female,23,45.72,5.4,45.51,82.76,2.9,No,5,2.4,Bachelor,Medium,Yes,Yes,No,7.9,4.4,76.72,Average,Pass
91,Female,20,79.13,5.1,33.93,47.74,8.2,Yes,3,5.0,Bachelor,Low,Yes,Yes,No,4.1,9.8,88.66,Excellent,Pass
92,Female,15,58.73,1.2,47.89,92.66,8.2,No,2,2.8,Master,Low,Yes,Yes,No,1.0,1.3,93.68,Excellent,Pass
93,Female,22,63.94,15.4,66.93,70.18,4.7,Yes,5,7.8,Bachelor,Low,Yes,No,No,6.0,6.9,77.4,Average,Pass
94,Female,21,91.48,2.4,42.01,54.55,3.6,No,3,5.7,Bachelor,High,Yes,Yes,No,3.1,3.4,60.57,Below Average,Pass
95,Female,24,40.54,7.3,41.72,88.29,3.6,Yes,4,14.7,Master,Low,Yes,Yes,Yes,7.7,2.2,71.04,Average,Pass
96,Female,17,75.3,6.4,62.38,64.54,5.3,Yes,4,2.2,High School,Medium,Yes,Yes,No,5.0,6.2,100.9,Excellent,Pass
97,Female,15,75.92,12.0,32.33,93.81,7.5,Yes,4,15.0,Master,Medium,Yes,No,Yes,7.1,3.8,104.1,Excellent,Pass
98,Female,19,63.8,13.0,38.53,94.96,4.2,No,5,0.9,Bachelor,Medium,No,No,No,8.7,7.0,84.4,Average,Pass
99,Female,18,54.22,2.6,59.11,41.58,6.5,No,4,4.0,Bachelor,Medium,Yes,Yes,No,5.8,5.9,75.38,Average,Pass
100,Male,24,54.08,3.1,34.42,30.16,4.4,Yes,4,15.8,Master,Medium,No,No,No,4.0,4.5,60.48,Below Average,Pass
101,Male,22,93.02,8.1,57.77,98.88,3.7,No,0,14.9,High School,Medium,Yes,No,Yes,7.9,2.6,55.54,Below Average,Fail
102,Female,15,66.52,3.0,63.18,93.43,1.2,Yes,4,9.5,Master,Low,No,Yes,No,3.4,6.4,78.27,Average,Pass
103,Female,24,59.85,16.5,61.59,33.88,1.0,Yes,2,1.0,PhD,Medium,Yes,No,No,9.0,8.5,75.14,Average,Pass
104,Female,15,66.93,7.0,90.84,88.31,3.0,Yes,5,12.2,Bachelor,High,Yes,No,Yes,1.6,6.4,112.46,Excellent,Pass
105,Female,18,80.16,10.4,67.1,62.05,4.7,No,5,8.1,PhD,High,No,Yes,Yes,8.5,6.5,105.15,Excellent,Pass
106,Female,22,48.75,3.0,62.76,48.13,8.7,No,2,6.3,High School,Medium,Yes,No,No,1.8,5.6,98.15,Excellent,Pass
107,Female,19,66.97,10.3,58.75,91.51,8.2,Yes,4,12.8,Master,Medium,Yes,No,Yes,1.5,4.5,109.47,Excellent,Pass
108,Female,16,75.27,1.9,87.23,43.77,3.4,Yes,0,8.7,Bachelor,Medium,Yes,No,No,4.3,5.1,89.24,Excellent,Pass
109,Female,20,96.92,5.9,92.65,96.31,3.2,Yes,2,1.8,Bachelor,Medium,Yes,Yes,No,9.6,9.9,118.85,Excellent,Pass
110,Male,19,55.15,5.8,89.73,44.39,3.0,Yes,0,18.3,High School,High,Yes,No,No,9.9,7.7,75.88,Average,Pass
111,Female,16,61.56,12.1,77.15,72.96,4.1,Yes,6,15.6,Bachelor,Medium,Yes,No,Yes,2.8,4.9,86.99,Excellent,Pass
112,Male,17,62.76,3.4,39.62,45.62,5.5,Yes,4,1.1,High School,Low,Yes,Yes,No,2.3,5.1,68.87,Below Average,Pass
113,Female,23,76.33,15.6,49.38,68.2,4.9,Yes,5,10.5,PhD,High,Yes,No,No,4.2,5.5,85.37,Excellent,Pass
114,Female,21,61.4,8.3,33.22,77.88,3.0,Yes,6,1.7,Master,Medium,No,No,Yes,4.0,6.9,86.38,Excellent,Pass
115,Male,21,72.01,6.7,95.16,43.32,2.2,Yes,5,16.7,High School,Medium,Yes,No,Yes,7.8,5.2,77.36,Average,Pass
116,Female,20,86.91,8.4,76.26,66.46,1.1,Yes,5,12.3,High School,High,Yes,Yes,Yes,5.0,7.2,95.47,Excellent,Pass
117,Male,22,82.32,4.9,82.25,62.83,2.4,Yes,2,3.4,Master,Medium,Yes,Yes,No,8.0,4.0,65.53,Below Average,Pass
118,Female,18,66.78,1.6,51.81,34.97,7.3,No,3,0.4,Bachelor,Medium,No,No,No,7.7,4.7,49.68,At Risk,Fail
119,Female,22,91.85,2.5,89.2,87.28,3.2,Yes,9,0.6,High School,Medium,Yes,No,Yes,6.2,8.8,99.44,Excellent,Pass
120,Male,18,73.49,7.7,48.17,53.5,5.2,No,0,10.1,Bachelor,Low,No,Yes,No,8.5,4.0,57.26,Below Average,Fail
121,Female,22,72.39,3.1,30.12,70.22,6.3,Yes,1,14.7,Bachelor,Medium,Yes,No,No,2.8,9.7,118.04,Excellent,Pass
122,Male,23,42.05,3.9,56.35,66.03,9.0,Yes,3,2.4,High School,Low,Yes,No,No,2.5,2.6,63.07,Below Average,Pass
123,Female,17,99.2,10.0,69.95,65.93,9.0,Yes,6,4.4,Master,Low,Yes,No,No,7.8,3.2,109.45,Excellent,Pass
124,Male,17,47.38,6.3,63.51,37.51,7.7,Yes,1,6.5,Bachelor,Medium,Yes,No,Yes,3.2,5.2,80.78,Average,Pass
125,Male,16,53.87,11.8,90.35,59.64,1.3,Yes,5,4.4,High School,Medium,Yes,Yes,Yes,1.0,8.2,106.13,Excellent,Pass
126,Female,24,43.1,3.9,37.38,61.67,6.2,No,3,7.8,PhD,Low,Yes,No,No,9.2,7.6,62.0,Below Average,Pass
127,Female,17,78.4,4.9,68.77,81.35,8.1,Yes,5,11.2,Bachelor,High,Yes,No,Yes,6.6,2.6,85.95,Excellent,Pass
128,Male,17,53.48,9.7,65.91,88.8,1.2,Yes,7,13.7,High School,Medium,Yes,Yes,No,5.0,3.1,87.98,Excellent,Pass
129,Female,19,50.8,6.8,49.7,68.15,5.9,No,5,19.3,High School,Low,Yes,No,No,7.5,6.2,63.82,Below Average,Pass
130,Female,19,45.31,16.4,87.56,36.07,8.7,Yes,6,18.6,High School,Medium,Yes,Yes,No,4.0,3.7,113.35,Excellent,Pass
131,Female,16,46.2,2.5,82.7,46.58,5.3,No,1,11.4,Bachelor,High,Yes,Yes,No,9.6,4.8,68.22,Below Average,Pass
132,Male,24,75.08,2.7,81.3,41.55,1.0,Yes,2,14.7,High School,Medium,Yes,No,No,1.6,5.4,65.92,Below Average,Pass
133,Male,20,81.29,6.1,91.33,38.72,1.1,No,1,19.0,Bachelor,Low,Yes,Yes,No,6.8,6.3,82.44,Average,Pass
134,Male,19,63.84,6.9,80.59,55.61,4.7,Yes,5,1.7,High School,Low,No,No,No,8.0,3.3,88.03,Excellent,Pass
135,Male,20,68.79,2.8,46.23,46.06,2.4,Yes,2,0.1,Bachelor,Medium,Yes,No,No,5.2,2.5,58.98,Below Average,Fail
136,Male,15,81.16,9.0,79.39,45.28,7.0,No,2,0.6,Master,Medium,Yes,No,No,7.8,4.6,85.75,Excellent,Pass
137,Male,19,41.04,7.4,51.54,33.83,7.4,Yes,2,11.3,Bachelor,Medium,Yes,Yes,No,9.3,1.7,61.54,Below Average,Pass
138,Male,23,59.39,3.6,46.95,31.24,2.6,Yes,2,15.3,Bachelor,High,Yes,Yes,Yes,7.7,5.7,64.22,Below Average,Pass
139,Male,24,98.39,6.0,35.11,37.19,9.0,No,2,7.3,PhD,Low,Yes,Yes,Yes,3.8,8.6,102.72,Excellent,Pass
140,Male,16,74.81,8.9,82.08,42.05,5.0,Yes,2,10.9,Bachelor,High,Yes,No,No,6.1,2.1,77.44,Average,Pass
141,Female,15,55.25,6.0,79.77,60.17,2.3,Yes,6,10.3,Bachelor,High,Yes,No,No,9.2,2.0,68.07,Below Average,Pass
142,Male,24,71.3,2.6,46.41,65.74,7.9,No,0,1.9,Bachelor,High,No,Yes,No,5.0,1.7,73.36,Average,Pass
143,Female,23,60.56,1.2,82.46,39.84,8.1,Yes,1,6.4,Master,High,Yes,No,No,7.1,8.6,77.2,Average,Pass
144,Female,24,71.93,2.3,94.25,59.73,6.8,No,4,0.4,High School,High,Yes,No,Yes,5.2,1.7,80.86,Average,Pass
145,Female,23,47.54,8.1,37.56,53.92,8.7,No,6,2.2,Bachelor,Medium,Yes,No,No,2.1,9.9,83.36,Average,Pass
146,Male,23,47.96,5.7,46.28,42.84,7.6,Yes,3,16.2,Bachelor,Medium,Yes,Yes,No,1.5,4.2,74.7,Average,Pass
147,Male,20,48.61,4.1,82.52,30.48,8.9,Yes,3,16.6,Bachelor,Medium,Yes,Yes,No,9.6,4.0,80.29,Average,Pass
148,Male,22,96.39,3.6,49.22,62.69,4.9,Yes,3,16.0,Master,High,Yes,No,No,6.5,1.8,72.87,Average,Pass
149,Male,15,83.97,3.5,73.73,78.0,7.7,Yes,4,14.5,Bachelor,Medium,No,No,No,1.9,6.3,106.42,Excellent,Pass
150,Female,24,49.74,4.1,35.68,45.84,10.0,No,1,15.9,High School,Low,Yes,Yes,No,8.7,6.3,53.71,Below Average,Fail
151,Male,18,51.3,4.8,61.65,39.23,7.5,Yes,4,13.4,PhD,Low,No,Yes,No,5.7,5.4,90.01,Excellent,Pass
152,Male,15,83.85,5.3,81.74,92.09,2.0,Yes,4,13.4,High School,High,Yes,No,No,7.9,3.8,87.54,Excellent,Pass
153,Male,22,49.37,2.8,78.06,49.25,5.7,No,4,13.3,High School,Medium,Yes,Yes,No,2.1,4.3,74.55,Average,Pass
154,Male,15,54.07,2.7,87.06,45.65,6.3,No,1,10.3,Bachelor,Medium,No,No,Yes,9.2,3.9,60.93,Below Average,Pass
155,Male,17,97.8,5.1,91.42,90.0,2.6,Yes,2,7.3,Master,Low,Yes,No,No,6.3,4.8,97.73,Excellent,Pass
156,Female,18,55.32,6.1,84.12,87.2,9.7,Yes,1,14.6,Master,Medium,Yes,No,No,7.6,4.1,58.83,Below Average,Fail
157,Male,22,79.7,2.1,77.01,61.38,2.6,No,2,6.0,PhD,Low,No,No,No,1.3,7.1,70.37,Average,Pass
158,Female,20,98.72,9.0,32.22,64.25,2.6,No,2,10.9,High School,Medium,Yes,No,No,3.8,3.7,85.74,Excellent,Pass
159,Male,24,62.46,4.3,67.45,45.24,9.2,No,3,8.7,Bachelor,Medium,Yes,Yes,No,3.4,4.2,82.22,Average,Pass
160,Female,21,41.05,7.7,32.64,35.48,5.2,Yes,2,5.5,High School,High,No,No,No,9.5,4.9,53.72,Below Average,Fail
161,Male,22,54.65,8.2,86.56,70.14,1.6,Yes,5,19.5,Master,Medium,Yes,Yes,No,2.7,1.0,83.04,Average,Pass
162,Male,16,89.85,5.8,52.45,36.88,6.4,Yes,5,5.2,Bachelor,Medium,Yes,No,No,7.4,5.4,87.43,Excellent,Pass
163,Female,24,91.88,4.3,69.37,61.45,6.4,Yes,3,6.2,High School,Medium,Yes,No,Yes,1.4,3.3,87.11,Excellent,Pass
164,Female,22,86.11,9.3,49.56,95.83,1.6,No,5,3.2,Master,Medium,Yes,No,No,2.8,1.5,72.83,Average,Pass
165,Female,17,46.79,7.2,84.78,96.7,9.8,No,3,16.5,Bachelor,Low,Yes,Yes,Yes,4.0,9.2,121.22,Excellent,Pass
166,Male,21,87.73,6.4,92.06,46.75,5.9,No,8,11.7,Bachelor,Medium,Yes,Yes,Yes,8.2,3.9,99.19,Excellent,Pass
167,Female,17,95.12,3.5,57.9,73.69,6.0,Yes,8,12.3,Master,High,Yes,No,No,8.1,4.8,95.21,Excellent,Pass
168,Male,21,76.04,7.2,90.4,63.19,5.7,No,4,16.4,High School,Medium,Yes,Yes,No,9.6,8.4,99.65,Excellent,Pass
169,Male,16,96.45,8.5,48.7,91.3,6.5,No,1,6.9,High School,Medium,No,No,Yes,9.3,2.5,71.37,Average,Pass
170,Female,24,89.61,3.0,67.43,49.0,3.4,No,0,3.9,High School,High,Yes,No,No,1.7,8.7,88.57,Excellent,Pass
171,Female,20,80.02,10.3,90.11,30.26,3.6,Yes,3,4.0,Bachelor,High,Yes,Yes,No,8.5,3.2,101.83,Excellent,Pass
172,Male,17,74.63,7.6,52.81,41.38,5.6,Yes,4,14.7,High School,Medium,Yes,Yes,Yes,5.1,6.3,100.5,Excellent,Pass
173,Male,17,60.91,6.6,96.78,54.47,8.3,No,3,12.3,Bachelor,Medium,Yes,No,No,8.8,7.2,88.14,Excellent,Pass
174,Female,23,49.56,4.5,38.53,52.1,1.4,Yes,6,4.1,High School,High,No,No,No,1.8,9.1,57.61,Below Average,Fail
175,Female,21,76.3,12.3,31.28,85.4,6.4,No,4,2.9,PhD,High,Yes,No,No,8.4,6.5,97.65,Excellent,Pass
176,Female,19,59.09,3.2,93.29,77.64,8.3,Yes,4,2.4,High School,High,Yes,Yes,No,2.4,5.1,119.4,Excellent,Pass
177,Male,24,91.99,5.8,34.81,50.97,2.4,No,3,12.6,High School,Medium,Yes,No,No,4.0,6.2,61.48,Below Average,Pass
178,Male,21,99.6,4.5,99.43,62.04,1.1,No,2,0.0,High School,Medium,Yes,Yes,No,1.3,2.8,89.31,Excellent,Pass
179,Male,23,85.15,2.1,96.6,36.69,3.8,No,5,0.4,Master,Low,Yes,Yes,No,2.1,7.2,106.64,Excellent,Pass
180,Male,15,45.43,3.0,39.59,92.87,6.3,Yes,4,7.8,Bachelor,Medium,Yes,Yes,No,5.0,2.7,79.31,Average,Pass
181,Male,21,57.32,8.1,67.63,95.48,2.2,No,3,13.8,Master,High,Yes,No,No,8.4,6.0,58.9,Below Average,Fail
182,Male,20,46.55,14.1,42.94,98.59,4.8,No,5,13.9,Master,High,Yes,Yes,No,8.0,6.8,83.39,Average,Pass
183,Female,24,79.03,8.3,59.97,90.8,6.0,Yes,2,8.6,PhD,Medium,Yes,No,Yes,3.1,9.1,116.76,Excellent,Pass
184,Male,23,85.91,7.2,34.3,42.18,6.4,No,2,13.8,Master,Medium,Yes,No,Yes,2.4,5.1,80.91,Average,Pass
185,Male,15,95.54,14.5,45.67,33.23,3.5,Yes,2,10.4,High School,Medium,No,No,No,4.5,8.0,101.81,Excellent,Pass
186,Male,18,66.29,2.8,55.43,70.57,4.6,Yes,3,19.5,Master,Medium,Yes,No,No,8.9,2.5,70.66,Average,Pass
187,Female,23,94.08,3.4,60.71,93.88,8.0,Yes,3,3.2,PhD,Medium,Yes,Yes,Yes,1.8,2.4,104.58,Excellent,Pass
188,Male,18,92.67,6.4,98.42,42.41,9.5,No,3,12.0,PhD,Medium,No,No,No,5.9,5.7,102.29,Excellent,Pass
